pais,fecha_corte,casos_confirmados,muertes,recuperados,total_casos,cambio_diario_casos,en_tratamiento,por_casos_conf_fallecieron
Afganistán,2020-01-22,0,0,0,40,NA,0,NaN
Afganistán,2020-01-23,0,0,0,40,0,0,NaN
Afganistán,2020-01-24,0,0,0,40,0,0,NaN
Afganistán,2020-01-25,0,0,0,40,0,0,NaN
Afganistán,2020-01-26,0,0,0,40,0,0,NaN
Afganistán,2020-01-27,0,0,0,40,0,0,NaN
Afganistán,2020-01-28,0,0,0,40,0,0,NaN
Afganistán,2020-01-29,0,0,0,40,0,0,NaN
Afganistán,2020-01-30,0,0,0,40,0,0,NaN
Afganistán,2020-01-31,0,0,0,40,0,0,NaN
Afganistán,2020-02-01,0,0,0,40,0,0,NaN
Afganistán,2020-02-02,0,0,0,40,0,0,NaN
Afganistán,2020-02-03,0,0,0,40,0,0,NaN
Afganistán,2020-02-04,0,0,0,40,0,0,NaN
Afganistán,2020-02-05,0,0,0,40,0,0,NaN
Afganistán,2020-02-06,0,0,0,40,0,0,NaN
Afganistán,2020-02-07,0,0,0,40,0,0,NaN
Afganistán,2020-02-08,0,0,0,40,0,0,NaN
Afganistán,2020-02-09,0,0,0,40,0,0,NaN
Afganistán,2020-02-10,0,0,0,40,0,0,NaN
Afganistán,2020-02-11,0,0,0,40,0,0,NaN
Afganistán,2020-02-12,0,0,0,40,0,0,NaN
Afganistán,2020-02-13,0,0,0,40,0,0,NaN
Afganistán,2020-02-14,0,0,0,40,0,0,NaN
Afganistán,2020-02-15,0,0,0,40,0,0,NaN
Afganistán,2020-02-16,0,0,0,40,0,0,NaN
Afganistán,2020-02-17,0,0,0,40,0,0,NaN
Afganistán,2020-02-18,0,0,0,40,0,0,NaN
Afganistán,2020-02-19,0,0,0,40,0,0,NaN
Afganistán,2020-02-20,0,0,0,40,0,0,NaN
Afganistán,2020-02-21,0,0,0,40,0,0,NaN
Afganistán,2020-02-22,0,0,0,40,0,0,NaN
Afganistán,2020-02-23,0,0,0,40,0,0,NaN
Afganistán,2020-02-24,1,0,0,40,1,1,0
Afganistán,2020-02-25,1,0,0,40,0,1,0
Afganistán,2020-02-26,1,0,0,40,0,1,0
Afganistán,2020-02-27,1,0,0,40,0,1,0
Afganistán,2020-02-28,1,0,0,40,0,1,0
Afganistán,2020-02-29,1,0,0,40,0,1,0
Afganistán,2020-03-01,1,0,0,40,0,1,0
Afganistán,2020-03-02,1,0,0,40,0,1,0
Afganistán,2020-03-03,1,0,0,40,0,1,0
Afganistán,2020-03-04,1,0,0,40,0,1,0
Afganistán,2020-03-05,1,0,0,40,0,1,0
Afganistán,2020-03-06,1,0,0,40,0,1,0
Afganistán,2020-03-07,1,0,0,40,0,1,0
Afganistán,2020-03-08,4,0,0,40,3,4,0
Afganistán,2020-03-09,4,0,0,40,0,4,0
Afganistán,2020-03-10,5,0,0,40,1,5,0
Afganistán,2020-03-11,7,0,0,40,2,7,0
Afganistán,2020-03-12,7,0,0,40,0,7,0
Afganistán,2020-03-13,7,0,0,40,0,7,0
Afganistán,2020-03-14,11,0,0,40,4,11,0
Afganistán,2020-03-15,16,0,0,40,5,16,0
Afganistán,2020-03-16,21,0,1,40,5,20,0
Afganistán,2020-03-17,22,0,1,40,1,21,0
Afganistán,2020-03-18,22,0,1,40,0,21,0
Afganistán,2020-03-19,22,0,1,40,0,21,0
Afganistán,2020-03-20,24,0,1,40,2,23,0
Afganistán,2020-03-21,24,0,1,40,0,23,0
Afganistán,2020-03-22,40,1,1,40,16,38,2.5
Afganistán,2020-03-23,40,1,1,40,0,38,2.5
Albania,2020-01-22,0,0,0,104,NA,0,NaN
Albania,2020-01-23,0,0,0,104,0,0,NaN
Albania,2020-01-24,0,0,0,104,0,0,NaN
Albania,2020-01-25,0,0,0,104,0,0,NaN
Albania,2020-01-26,0,0,0,104,0,0,NaN
Albania,2020-01-27,0,0,0,104,0,0,NaN
Albania,2020-01-28,0,0,0,104,0,0,NaN
Albania,2020-01-29,0,0,0,104,0,0,NaN
Albania,2020-01-30,0,0,0,104,0,0,NaN
Albania,2020-01-31,0,0,0,104,0,0,NaN
Albania,2020-02-01,0,0,0,104,0,0,NaN
Albania,2020-02-02,0,0,0,104,0,0,NaN
Albania,2020-02-03,0,0,0,104,0,0,NaN
Albania,2020-02-04,0,0,0,104,0,0,NaN
Albania,2020-02-05,0,0,0,104,0,0,NaN
Albania,2020-02-06,0,0,0,104,0,0,NaN
Albania,2020-02-07,0,0,0,104,0,0,NaN
