pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,80422,3013,52240,25169,3.75,2020/03/05 18:24:04
Corea del Sur,6088,35,41,6012,0.57,2020/03/05 18:24:04
Italia,3858,148,414,3296,3.84,2020/03/05 18:24:04
Irán,3513,107,739,2667,3.05,2020/03/05 18:24:04
Crucero Diamond Princess,706,6,10,690,0.85,2020/03/05 18:24:04
Alemania,482,0,16,466,0,2020/03/05 18:24:04
Francia,377,6,12,359,1.59,2020/03/05 18:24:04
Japón,360,6,43,311,1.67,2020/03/05 18:24:04
España,259,3,2,254,1.16,2020/03/05 18:24:04
EEUU,221,12,8,201,5.43,2020/03/05 18:24:04
Singapur,117,0,78,39,0,2020/03/05 18:24:04
Reino Unido,115,1,8,106,0.87,2020/03/05 18:24:04
Suiza,114,1,3,110,0.88,2020/03/05 18:24:04
Hong Kong,105,2,43,60,1.9,2020/03/05 18:24:04
Suecia,94,0,0,94,0,2020/03/05 18:24:04
Noruega,87,0,0,87,0,2020/03/05 18:24:04
Holanda,82,0,0,82,0,2020/03/05 18:24:04
Kuwait,58,0,0,58,0,2020/03/05 18:24:04
Australia,55,2,21,32,3.64,2020/03/05 18:24:04
Baréin,55,0,0,55,0,2020/03/05 18:24:04
Bélgica,50,0,1,49,0,2020/03/05 18:24:04
Malasia,50,0,22,28,0,2020/03/05 18:24:04
Tailandia,47,1,31,15,2.13,2020/03/05 18:24:04
Taiwán,44,1,12,31,2.27,2020/03/05 18:24:04
Austria,41,0,0,41,0,2020/03/05 18:24:04
Canadá,37,0,6,31,0,2020/03/05 18:24:04
Iraq,35,2,0,33,5.71,2020/03/05 18:24:04
Islandia,34,0,0,34,0,2020/03/05 18:24:04
Grecia,31,0,0,31,0,2020/03/05 18:24:04
India,30,0,3,27,0,2020/03/05 18:24:04
Emiratos Árabes Unidos,29,0,5,24,0,2020/03/05 18:24:04
San Marino,21,1,0,20,4.76,2020/03/05 18:24:04
Israel,16,0,1,15,0,2020/03/05 18:24:04
Líbano,16,0,1,15,0,2020/03/05 18:24:04
Omán,16,0,2,14,0,2020/03/05 18:24:04
Vietnam,16,0,16,0,0,2020/03/05 18:24:04
Ecuador,13,0,0,13,0,2020/03/05 18:24:04
Argelia,12,0,0,12,0,2020/03/05 18:24:04
Finlandia,12,0,1,11,0,2020/03/05 18:24:04
República Checa,12,0,0,12,0,2020/03/05 18:24:04
Croacia,10,0,0,10,0,2020/03/05 18:24:04
Dinamarca,10,0,0,10,0,2020/03/05 18:24:04
Macao,10,0,9,1,0,2020/03/05 18:24:04
Portugal,8,0,0,8,0,2020/03/05 18:24:04
Qatar,8,0,0,8,0,2020/03/05 18:24:04
Azerbaiyán,6,0,0,6,0,2020/03/05 18:24:04
Bielorrusia,6,0,0,6,0,2020/03/05 18:24:04
Irlanda,6,0,0,6,0,2020/03/05 18:24:04
Rumania,6,0,1,5,0,2020/03/05 18:24:04
Arabia Saudita,5,0,0,5,0,2020/03/05 18:24:04
México,5,0,1,4,0,2020/03/05 18:24:04
Pakistán,5,0,0,5,0,2020/03/05 18:24:04
Brasil,4,0,0,4,0,2020/03/05 18:24:04
Chile,4,0,0,4,0,2020/03/05 18:24:04
Georgia,4,0,0,4,0,2020/03/05 18:24:04
Palestina,4,0,0,4,0,2020/03/05 18:24:04
Rusia,4,0,2,2,0,2020/03/05 18:24:04
Senegal,4,0,0,4,0,2020/03/05 18:24:04
Egipto,3,0,1,2,0,2020/03/05 18:24:04
Estonia,3,0,0,3,0,2020/03/05 18:24:04
Filipinas,3,1,1,1,33.33,2020/03/05 18:24:04
Nueva Zelanda,3,0,0,3,0,2020/03/05 18:24:04
Saint Barthelemy,3,0,0,3,0,2020/03/05 18:24:04
Bosnia y Herzegovina,2,0,0,2,0,2020/03/05 18:24:04
Eslovenia,2,0,0,2,0,2020/03/05 18:24:04
Hungría,2,0,0,2,0,2020/03/05 18:24:04
Indonesia,2,0,0,2,0,2020/03/05 18:24:04
Marruecos,2,0,0,2,0,2020/03/05 18:24:04
Afganistán,1,0,0,1,0,2020/03/05 18:24:04
Andorra,1,0,0,1,0,2020/03/05 18:24:04
Argentina,1,0,0,1,0,2020/03/05 18:24:04
Armenia,1,0,0,1,0,2020/03/05 18:24:04
Camboya,1,0,1,0,0,2020/03/05 18:24:04
Gibraltar,1,0,0,1,0,2020/03/05 18:24:04
Islas Faroe,1,0,0,1,0,2020/03/05 18:24:04
Jordania,1,0,0,1,0,2020/03/05 18:24:04
Letonia,1,0,0,1,0,2020/03/05 18:24:04
Liechtenstein,1,0,0,1,0,2020/03/05 18:24:04
Lituania,1,0,0,1,0,2020/03/05 18:24:04
Luxemburgo,1,0,0,1,0,2020/03/05 18:24:04
Macedonia del Norte,1,0,0,1,0,2020/03/05 18:24:04
Monaco,1,0,0,1,0,2020/03/05 18:24:04
Nepal,1,0,1,0,0,2020/03/05 18:24:04
Nigeria,1,0,0,1,0,2020/03/05 18:24:04
Polonia,1,0,0,1,0,2020/03/05 18:24:04
República Dominicana,1,0,0,1,0,2020/03/05 18:24:04
Sri Lanka,1,0,1,0,0,2020/03/05 18:24:04
Sudáfrica,1,0,0,1,0,2020/03/05 18:24:04
Túnez,1,0,0,1,0,2020/03/05 18:24:04
Ucrania,1,0,0,1,0,2020/03/05 18:24:04
