pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion,
China,81003,3203,67017,10783,3.95,2020-03-16T02:49:24Z,
Italia,24747,1809,2335,20603,7.31,2020-03-16T02:49:24Z,
Irán,13938,724,4590,8624,5.19,2020-03-16T02:49:24Z,
Corea del Sur,8162,75,510,7577,0.92,2020-03-16T02:49:24Z,
España,7798,289,517,6992,3.71,2020-03-16T02:49:24Z,
Alemania,5795,11,46,5738,0.19,2020-03-16T02:49:24Z,
Francia,5437,127,12,4410,2.02,2020-03-16T02:49:24Z,Datos modificados manualmente
EEUU,3453,63,12,3378,1.82,2020-03-16T02:49:24Z,
Suiza,2200,14,4,2182,0.64,2020-03-16T02:49:24Z,
Noruega,1221,3,1,1217,0.25,2020-03-16T02:49:24Z,
Reino Unido,1144,21,19,1104,1.84,2020-03-16T02:49:24Z,
Holanda,1135,20,2,1113,1.76,2020-03-16T02:49:24Z,
Suecia,1022,3,1,1018,0.29,2020-03-16T02:49:24Z,
Bélgica,886,4,1,881,0.45,2020-03-16T02:49:24Z,
Dinamarca,875,2,1,872,0.23,2020-03-16T02:49:24Z,
Austria,860,1,6,853,0.12,2020-03-16T02:49:24Z,
Japón,839,22,118,699,2.62,2020-03-16T02:49:24Z,
Crucero Diamond Princess,742,7,325,410,0.94,2020-03-16T02:49:24Z,
Malasia,428,0,42,386,0,2020-03-16T02:49:24Z,
Qatar,401,0,4,397,0,2020-03-16T02:49:24Z,
Grecia,331,4,8,319,1.21,2020-03-16T02:49:24Z,
Australia,297,3,23,271,1.01,2020-03-16T02:49:24Z,
República Checa,253,0,0,253,0,2020-03-16T02:49:24Z,
Israel,251,0,4,247,0,2020-03-16T02:49:24Z,
Canadá,250,1,8,241,0.4,2020-03-16T02:49:24Z,
Portugal,245,0,2,243,0,2020-03-16T02:49:24Z,
Finlandia,244,0,10,234,0,2020-03-16T02:49:24Z,
Singapur,226,0,105,121,0,2020-03-16T02:49:24Z,
Eslovenia,219,1,0,218,0.46,2020-03-16T02:49:24Z,
Baréin,214,0,60,154,0,2020-03-16T02:49:24Z,
Estonia,171,0,1,170,0,2020-03-16T02:49:24Z,
Islandia,171,5,8,158,2.92,2020-03-16T02:49:24Z,
Brasil,162,0,0,162,0,2020-03-16T02:49:24Z,
Filipinas,140,11,2,127,7.86,2020-03-16T02:49:24Z,
Rumania,131,0,9,122,0,2020-03-16T02:49:24Z,
Irlanda,129,2,0,127,1.55,2020-03-16T02:49:24Z,
Polonia,119,3,0,116,2.52,2020-03-16T02:49:24Z,
Indonesia,117,5,8,104,4.27,2020-03-16T02:49:24Z,
Iraq,116,10,26,80,8.62,2020-03-16T02:49:24Z,
Tailandia,114,1,35,78,0.88,2020-03-16T02:49:24Z,
India,113,2,13,98,1.77,2020-03-16T02:49:24Z,
Kuwait,112,0,5,107,0,2020-03-16T02:49:24Z,
Egipto,110,2,21,87,1.82,2020-03-16T02:49:24Z,
Líbano,110,3,1,106,2.73,2020-03-16T02:49:24Z,
Arabia Saudita,103,0,1,102,0,2020-03-16T02:49:24Z,
San Marino,101,5,4,92,4.95,2020-03-16T02:49:24Z,
EAU,98,0,23,75,0,2020-03-16T02:49:24Z,
Chile,74,0,0,74,0,2020-03-16T02:49:24Z,
Rusia,63,0,8,55,0,2020-03-16T02:49:24Z,
Luxemburgo,59,1,0,58,1.69,2020-03-16T02:49:24Z,
Taiwán,59,1,20,38,1.69,2020-03-16T02:49:24Z,
Vietnam,56,0,16,40,0,2020-03-16T02:49:24Z,
Eslovaquia,54,0,0,54,0,2020-03-16T02:49:24Z,
Pakistán,53,0,2,51,0,2020-03-16T02:49:24Z,
Bulgaria,51,2,0,49,3.92,2020-03-16T02:49:24Z,
Sudáfrica,51,0,0,51,0,2020-03-16T02:49:24Z,
Brunei,50,0,0,50,0,2020-03-16T02:49:24Z,
Croacia,49,0,1,48,0,2020-03-16T02:49:24Z,
Argelia,48,4,12,32,8.33,2020-03-16T02:49:24Z,
Serbia,48,0,0,48,0,2020-03-16T02:49:24Z,
Argentina,45,2,1,42,4.44,2020-03-16T02:49:24Z,
Panamá,43,1,0,42,2.33,2020-03-16T02:49:24Z,
Perú,43,0,0,43,0,2020-03-16T02:49:24Z,
Albania,42,1,0,41,2.38,2020-03-16T02:49:24Z,
México,41,0,4,37,0,2020-03-16T02:49:24Z,
Colombia,34,0,0,34,0,2020-03-16T02:49:24Z,
Georgia,33,0,0,33,0,2020-03-16T02:49:24Z,
Hungría,32,1,1,30,3.12,2020-03-16T02:49:24Z,
Letonia,30,0,1,29,0,2020-03-16T02:49:24Z,
Ecuador,28,2,0,26,7.14,2020-03-16T02:49:24Z,
Marruecos,28,1,1,26,3.57,2020-03-16T02:49:24Z,
Bielorrusia,27,0,3,24,0,2020-03-16T02:49:24Z,
Costa Rica,27,0,0,27,0,2020-03-16T02:49:24Z,
Armenia,26,0,0,26,0,2020-03-16T02:49:24Z,
Chipre,26,0,0,26,0,2020-03-16T02:49:24Z,
Bosnia y Herzegovina,24,0,0,24,0,2020-03-16T02:49:24Z,
Senegal,24,0,1,23,0,2020-03-16T02:49:24Z,
Azerbaiyán,23,1,6,16,4.35,2020-03-16T02:49:24Z,
Moldova,23,0,0,23,0,2020-03-16T02:49:24Z,
Omán,22,0,9,13,0,2020-03-16T02:49:24Z,
Malta,21,0,1,20,0,2020-03-16T02:49:24Z,
