pais,casos_confirmados,muertes,recuperados,en_tratamiento,tasa_letalidad,actualizacion
China,81250,3253,71266,6731,4,2020-03-20
Italia,47021,4032,4440,38549,8.57,2020-03-20
España,20410,1043,1588,17779,5.11,2020-03-20
Alemania,19848,67,180,19601,0.34,2020-03-20
Irán,19644,1433,6745,11466,7.29,2020-03-20
EEUU,19052,244,147,18661,1.28,2020-03-20
Francia,12632,450,12,12170,3.56,2020-03-20
Corea del Sur,8652,94,1540,7018,1.09,2020-03-20
Suiza,5294,54,15,5225,1.02,2020-03-20
Reino Unido,4014,178,67,3769,4.43,2020-03-20
Holanda,3003,107,2,2894,3.56,2020-03-20
Austria,2388,6,9,2373,0.25,2020-03-20
Bélgica,2257,37,1,2219,1.64,2020-03-20
Noruega,1914,7,1,1906,0.37,2020-03-20
Suecia,1639,16,16,1607,0.98,2020-03-20
Dinamarca,1337,9,1,1327,0.67,2020-03-20
Malasia,1030,3,87,940,0.29,2020-03-20
Portugal,1020,6,5,1009,0.59,2020-03-20
Japón,963,33,191,739,3.43,2020-03-20
Canadá,943,12,9,922,1.27,2020-03-20
República Checa,833,0,4,829,0,2020-03-20
Brasil,793,11,2,780,1.39,2020-03-20
Australia,791,7,26,758,0.88,2020-03-20
Crucero Diamond Princess,761,7,325,429,0.92,2020-03-20
Israel,705,0,14,691,0,2020-03-20
Irlanda,683,3,5,675,0.44,2020-03-20
Pakistán,501,3,13,485,0.6,2020-03-20
Grecia,495,6,19,470,1.21,2020-03-20
Luxemburgo,484,4,0,480,0.83,2020-03-20
Qatar,470,0,10,460,0,2020-03-20
Finlandia,450,0,10,440,0,2020-03-20
Chile,434,0,6,428,0,2020-03-20
Polonia,425,5,1,419,1.18,2020-03-20
Islandia,409,0,5,404,0,2020-03-20
Singapur,385,0,124,261,0,2020-03-20
Indonesia,369,32,15,322,8.67,2020-03-20
Ecuador,367,5,0,362,1.36,2020-03-20
Turquía,359,4,0,355,1.11,2020-03-20
Arabia Saudita,344,0,8,336,0,2020-03-20
Eslovenia,341,1,0,340,0.29,2020-03-20
Tailandia,322,1,42,279,0.31,2020-03-20
Rumania,308,0,25,283,0,2020-03-20
Baréin,285,1,100,184,0.35,2020-03-20
Egipto,285,8,39,238,2.81,2020-03-20
Estonia,283,0,1,282,0,2020-03-20
Rusia,253,1,9,243,0.4,2020-03-20
India,244,5,20,219,2.05,2020-03-20
Perú,234,3,1,230,1.28,2020-03-20
Filipinas,230,18,8,204,7.83,2020-03-20
Iraq,208,17,49,142,8.17,2020-03-20
Sudáfrica,202,0,0,202,0,2020-03-20
México,164,1,4,159,0.61,2020-03-20
Líbano,163,4,4,155,2.45,2020-03-20
Kuwait,159,0,18,141,0,2020-03-20
San Marino,144,14,4,126,9.72,2020-03-20
EAU,140,2,31,107,1.43,2020-03-20
Eslovaquia,137,1,0,136,0.73,2020-03-20
Panamá,137,1,0,136,0.73,2020-03-20
Armenia,136,0,1,135,0,2020-03-20
Serbia,135,1,1,133,0.74,2020-03-20
Taiwán,135,2,26,107,1.48,2020-03-20
Argentina,128,3,3,122,2.34,2020-03-20
Colombia,128,0,1,127,0,2020-03-20
Croacia,128,1,5,122,0.78,2020-03-20
Bulgaria,127,3,0,124,2.36,2020-03-20
Letonia,111,0,1,110,0,2020-03-20
Uruguay,94,0,0,94,0,2020-03-20
Vietnam,91,0,16,75,0,2020-03-20
Argelia,90,11,32,47,12.22,2020-03-20
Bosnia y Herzegovina,89,0,2,87,0,2020-03-20
Costa Rica,89,1,0,88,1.12,2020-03-20
Hungría,85,3,2,80,3.53,2020-03-20
Jordania,85,0,1,84,0,2020-03-20
Brunei,78,0,1,77,0,2020-03-20
Marruecos,77,3,1,73,3.9,2020-03-20
Andorra,75,0,1,74,0,2020-03-20
Sri Lanka,73,0,3,70,0,2020-03-20
República Dominicana,72,2,0,70,2.78,2020-03-20
Albania,70,2,0,68,2.86,2020-03-20
Bielorrusia,69,0,5,64,0,2020-03-20
Chipre,67,0,0,67,0,2020-03-20
Macedonia del Norte,67,0,1,66,0,2020-03-20
Moldova,66,1,1,64,1.52,2020-03-20
Malta,64,0,2,62,0,2020-03-20
Túnez,54,1,0,53,1.85,2020-03-20
Camboya,51,0,1,50,0,2020-03-20
Kazajistán,49,3,0,46,6.12,2020-03-20
Lituania,49,0,1,48,0,2020-03-20
Omán,48,0,12,36,0,2020-03-20
Guadalupe,45,0,0,45,0,2020-03-20
Azerbaiyán,44,1,6,37,2.27,2020-03-20
Georgia,43,0,1,42,0,2020-03-20
Venezuela,42,0,0,42,0,2020-03-20
Burkina Faso,40,1,0,39,2.5,2020-03-20
Nueva Zelanda,39,0,0,39,0,2020-03-20
Senegal,38,0,2,36,0,2020-03-20
Uzbekistán,33,0,0,33,0,2020-03-20
Martinica,32,1,0,31,3.12,2020-03-20
Ucrania,29,3,0,26,10.34,2020-03-20
Liechtenstein,28,0,0,28,0,2020-03-20
Reunion,28,0,0,28,0,2020-03-20
Afganistán,24,0,1,23,0,2020-03-20
Honduras,24,0,0,24,0,2020-03-20
Bangladesh,20,1,3,16,5,2020-03-20
Camerún,20,0,0,20,0,2020-03-20
Rep. Dem. del Congo,18,0,0,18,0,2020-03-20
Ruanda,17,0,0,17,0,2020-03-20
Cuba,16,1,0,15,6.25,2020-03-20
Ghana,16,0,0,16,0,2020-03-20
Jamaica,16,1,2,13,6.25,2020-03-20
Bolivia,15,0,0,15,0,2020-03-20
Guayana Francesa,15,0,0,15,0,2020-03-20
Montenegro,14,0,0,14,0,2020-03-20
Maldivas,13,0,0,13,0,2020-03-20
Paraguay,13,0,0,13,0,2020-03-20
Guatemala,12,1,0,11,8.33,2020-03-20
Mauricio,12,0,0,12,0,2020-03-20
Nigeria,12,0,1,11,0,2020-03-20
Mónaco,11,0,0,11,0,2020-03-20
Costa de Marfil,9,0,1,8,0,2020-03-20
Etiopía,9,0,0,9,0,2020-03-20
Togo,9,0,1,8,0,2020-03-20
Trinidad y Tobago,9,0,0,9,0,2020-03-20
Guyana,7,1,0,6,14.29,2020-03-20
Kenya,7,0,0,7,0,2020-03-20
Seychelles,7,0,0,7,0,2020-03-20
Guinea Ecuatorial,6,0,0,6,0,2020-03-20
Kirguistán,6,0,0,6,0,2020-03-20
Mayotte,6,0,0,6,0,2020-03-20
Mongolia,6,0,0,6,0,2020-03-20
Tanzania,6,0,0,6,0,2020-03-20
