pais,casos_confirmados,muertes,recuperados,en_tratamiento,por_casos_conf_fallecieron,actualizacion
China,81496,3274,72819,5403,4.02,2020-03-23
Italia,63927,6077,7432,50418,9.51,2020-03-23
EEUU,43618,552,0,43066,1.27,2020-03-23
España,35136,2311,3355,29470,6.58,2020-03-23
Alemania,29056,123,453,28480,0.42,2020-03-23
Irán,23049,1812,8376,12861,7.86,2020-03-23
Francia,20123,862,2207,17054,4.28,2020-03-23
Corea del Sur,8961,111,3166,5684,1.24,2020-03-23
Suiza,8795,120,131,8544,1.36,2020-03-23
Reino Unido,6726,336,140,6250,5,2020-03-23
Holanda,4764,214,3,4547,4.49,2020-03-23
Austria,4474,21,9,4444,0.47,2020-03-23
Bélgica,3743,88,401,3254,2.35,2020-03-23
Noruega,2621,10,6,2605,0.38,2020-03-23
Canadá,2088,24,0,2064,1.15,2020-03-23
Portugal,2060,23,14,2023,1.12,2020-03-23
Suecia,2046,25,16,2005,1.22,2020-03-23
Brasil,1924,34,2,1888,1.77,2020-03-23
Australia,1682,7,119,1556,0.42,2020-03-23
Dinamarca,1572,24,24,1524,1.53,2020-03-23
Turquía,1529,37,0,1492,2.42,2020-03-23
Malasia,1518,14,159,1345,0.92,2020-03-23
Israel,1442,1,41,1400,0.07,2020-03-23
Rep. Checa,1236,1,7,1228,0.08,2020-03-23
Japón,1128,42,235,851,3.72,2020-03-23
Irlanda,1125,6,5,1114,0.53,2020-03-23
Ecuador,981,18,3,960,1.83,2020-03-23
Luxemburgo,875,8,6,861,0.91,2020-03-23
Pakistán,875,6,13,856,0.69,2020-03-23
Crucero Diamond Princess,761,9,567,185,1.18,2020-03-23
Polonia,749,8,13,728,1.07,2020-03-23
Chile,746,2,11,733,0.27,2020-03-23
Tailandia,721,1,52,668,0.14,2020-03-23
Finlandia,700,1,10,689,0.14,2020-03-23
Grecia,695,17,29,649,2.45,2020-03-23
Islandia,588,1,51,536,0.17,2020-03-23
Indonesia,579,49,30,500,8.46,2020-03-23
Rumania,576,7,73,496,1.22,2020-03-23
Arabia Saudita,562,0,19,543,0,2020-03-23
Singapur,509,2,152,355,0.39,2020-03-23
Qatar,501,0,33,468,0,2020-03-23
India,499,10,34,455,2,2020-03-23
Filipinas,462,33,18,411,7.14,2020-03-23
Eslovenia,442,3,0,439,0.68,2020-03-23
Rusia,438,1,17,420,0.23,2020-03-23
Sudáfrica,402,0,4,398,0,2020-03-23
Perú,395,5,1,389,1.27,2020-03-23
Baréin,377,2,164,211,0.53,2020-03-23
Egipto,366,19,68,279,5.19,2020-03-23
Estonia,352,0,4,348,0,2020-03-23
México,316,3,4,309,0.95,2020-03-23
Croacia,315,1,5,309,0.32,2020-03-23
Panamá,313,3,1,309,0.96,2020-03-23
Colombia,277,3,3,271,1.08,2020-03-23
Líbano,267,4,8,255,1.5,2020-03-23
Argentina,266,4,27,235,1.5,2020-03-23
Iraq,266,23,62,181,8.65,2020-03-23
Serbia,249,3,3,243,1.2,2020-03-23
Rep. Dominicana,245,3,3,239,1.22,2020-03-23
Armenia,235,0,2,233,0,2020-03-23
Argelia,230,17,65,148,7.39,2020-03-23
Bulgaria,201,3,3,195,1.49,2020-03-23
EAU,198,2,41,155,1.01,2020-03-23
Taiwán,195,2,28,165,1.03,2020-03-23
Kuwait,189,0,30,159,0,2020-03-23
San Marino,187,20,4,163,10.7,2020-03-23
Eslovaquia,186,0,7,179,0,2020-03-23
Letonia,180,0,1,179,0,2020-03-23
Lituania,179,1,1,177,0.56,2020-03-23
Hungría,167,7,16,144,4.19,2020-03-23
Costa Rica,158,2,2,154,1.27,2020-03-23
Uruguay,158,0,0,158,0,2020-03-23
Marruecos,143,4,5,134,2.8,2020-03-23
Macedonia del Norte,136,2,1,133,1.47,2020-03-23
Andorra,133,1,1,131,0.75,2020-03-23
Bosnia y Herzegovina,132,1,2,129,0.76,2020-03-23
Jordania,127,0,1,126,0,2020-03-23
Vietnam,123,0,17,106,0,2020-03-23
Chipre,116,1,3,112,0.86,2020-03-23
Moldova,109,1,2,106,0.92,2020-03-23
Malta,107,0,2,105,0,2020-03-23
Albania,104,4,2,98,3.85,2020-03-23
Nueva Zelanda,102,0,0,102,0,2020-03-23
Burkina Faso,99,4,5,90,4.04,2020-03-23
Sri Lanka,97,0,2,95,0,2020-03-23
Brunei,91,0,2,89,0,2020-03-23
Túnez,89,3,1,85,3.37,2020-03-23
Camboya,87,0,2,85,0,2020-03-23
Bielorrusia,81,0,22,59,0,2020-03-23
Senegal,79,0,8,71,0,2020-03-23
Venezuela,77,0,15,62,0,2020-03-23
Ucrania,73,3,1,69,4.11,2020-03-23
Azerbaiyán,72,1,10,61,1.39,2020-03-23
Omán,66,0,17,49,0,2020-03-23
Kazajistán,62,0,0,62,0,2020-03-23
Georgia,61,0,8,53,0,2020-03-23
Camerún,56,0,2,54,0,2020-03-23
Liechtenstein,51,0,0,51,0,2020-03-23
Trinidad y Tobago,51,0,0,51,0,2020-03-23
Uzbekistán,46,0,0,46,0,2020-03-23
Afganistán,40,1,1,38,2.5,2020-03-23
Cuba,40,1,0,39,2.5,2020-03-23
Nigeria,40,1,2,37,2.5,2020-03-23
Mauricio,36,2,0,34,5.56,2020-03-23
Rep. Dem. del Congo,36,1,0,35,2.78,2020-03-23
Ruanda,36,0,0,36,0,2020-03-23
Bangladesh,33,3,5,25,9.09,2020-03-23
Bolivia,27,0,0,27,0,2020-03-23
Ghana,27,2,0,25,7.41,2020-03-23
Honduras,27,0,0,27,0,2020-03-23
Montenegro,27,1,0,26,3.7,2020-03-23
Costa de Marfil,25,0,2,23,0,2020-03-23
Mónaco,23,0,1,22,0,2020-03-23
Paraguay,22,1,0,21,4.55,2020-03-23
Guatemala,20,1,0,19,5,2020-03-23
Guyana,20,1,0,19,5,2020-03-23
Jamaica,19,1,2,16,5.26,2020-03-23
Togo,18,0,0,18,0,2020-03-23
Barbados,17,0,0,17,0,2020-03-23
Kenya,16,0,0,16,0,2020-03-23
Kirguistán,16,0,0,16,0,2020-03-23
Maldivas,13,0,5,8,0,2020-03-23
Madagascar,12,0,0,12,0,2020-03-23
Tanzania,12,0,0,12,0,2020-03-23
Etiopía,11,0,0,11,0,2020-03-23
Mongolia,10,0,0,10,0,2020-03-23
Guinea Ecuatorial,9,0,0,9,0,2020-03-23
Uganda,9,0,0,9,0,2020-03-23
Seychelles,7,0,0,7,0,2020-03-23
Haiti,6,0,0,6,0,2020-03-23
Benin,5,0,0,5,0,2020-03-23
Gabón,5,1,0,4,20,2020-03-23
Surinam,5,0,0,5,0,2020-03-23
Bahamas,4,0,0,4,0,2020-03-23
Esuatini,4,0,0,4,0,2020-03-23
Guinea,4,0,0,4,0,2020-03-23
Namibia,4,0,0,4,0,2020-03-23
Rep. del Congo,4,0,0,4,0,2020-03-23
Angola,3,0,0,3,0,2020-03-23
Antigua y Barbuda,3,0,0,3,0,2020-03-23
Cabo Verde,3,0,0,3,0,2020-03-23
El Salvador,3,0,0,3,0,2020-03-23
Fiji,3,0,0,3,0,2020-03-23
Liberia,3,0,0,3,0,2020-03-23
Niger,3,0,0,3,0,2020-03-23
Rep. Centroafricana,3,0,0,3,0,2020-03-23
Santa Lucía,3,0,0,3,0,2020-03-23
Yibuti,3,0,0,3,0,2020-03-23
Zambia,3,0,0,3,0,2020-03-23
Zimbabue,3,1,0,2,33.33,2020-03-23
Bután,2,0,0,2,0,2020-03-23
Dominica,2,0,0,2,0,2020-03-23
Gambia,2,1,0,1,50,2020-03-23
Mauritania,2,0,0,2,0,2020-03-23
Nepal,2,0,1,1,0,2020-03-23
Nicaragua,2,0,0,2,0,2020-03-23
Sudán,2,1,0,1,50,2020-03-23
Belize,1,0,0,1,0,2020-03-23
Chad,1,0,0,1,0,2020-03-23
Ciudad del Vaticano,1,0,0,1,0,2020-03-23
Eritrea,1,0,0,1,0,2020-03-23
Grenada,1,0,0,1,0,2020-03-23
Mozambique,1,0,0,1,0,2020-03-23
Papua New Guinea,1,0,0,1,0,2020-03-23
San Vincente y las Granadinas,1,0,0,1,0,2020-03-23
Siria,1,0,0,1,0,2020-03-23
Somalia,1,0,0,1,0,2020-03-23
Timor Oriental,1,0,0,1,0,2020-03-23
